date,ADULT,ALLERGY,ANTACID,ANTIFUNGAL,COLD SORE,DECONGESTANT,DENTURE,MANUAL TOOTHBRUSH,MOUTHWASH,MULTI SYMPTOM,NRT,TOOTHPASTE,TOPICAL
19/01/2019,137762.77,29321.29,96007.36,8783.72,7765.27,63924.03,28586.26,78809.3,222587.52,42817.44,264641.66,624659.15,73001.05
26/01/2019,149845.5,26471.35,141548.91,8348.19,8238.22,66097.48,29288.13,77016.2,231991.55,49066.25,248528.45,621682.01,70045.06
02/02/2019,148062.94,29486.47,93367.57,8163.78,8023.24,70835.15,30143.76,117467.73,226629.14,45649.59,272822.14,640012.82,71142.19
09/02/2019,143022.99,30141.9,90746.33,8631.64,9195.64,73333.7,28912.3,79204.22,223447.07,47018.67,249520.54,633107.32,71300.26
16/02/2019,135540.72,27329.51,86626.86,8416.29,7101.67,72947.16,27284.37,70501.45,195434.7,37745.93,209435.15,570117.62,63482.32
23/02/2019,137963.78,33619.62,92299.83,8506.03,4952.26,72354.46,27131.89,70730.92,204816.33,33001.08,235721.58,577151.46,66629.33
02/03/2019,147048.82,55372.33,93769.89,9915.43,4333.9,79346.66,29472.34,80240.11,234360.82,28831.49,263843.63,643382.11,67694.24
09/03/2019,142552.4,50033.1,100568.14,9650.56,5367.08,74785.94,29577.17,78364.54,225839.31,26844.44,251139.64,631466.38,71426.54
16/03/2019,145592.48,48623.45,100679.14,9728.47,7124.72,62987.84,29514.57,76270.39,218057.45,28221.77,231034.13,598668.34,66741.69
23/03/2019,142523.36,48673.19,109678.9,10535.57,6462.71,58793.93,28694.87,76524.19,218815.67,27510.2,246044.85,597321.43,60181.31
30/03/2019,144230.12,67004.45,94025.37,10266.35,7484.66,56830.14,29411.87,82104.52,218401.86,26644.42,241853.44,601618.5,65283.6
06/04/2019,141768.33,69912.23,96676.32,9948.8,7317.72,61196.36,28965.04,78442.45,214092.36,27521.2,254531.7,606858.16,65381.69
13/04/2019,133436.97,61035.99,89971.43,9022.52,6912.86,63426.76,28028.26,70857.24,201764.71,26498.39,283499.49,537055.38,60982.97
20/04/2019,124568.06,80874.33,97136.94,9042.9,8090.76,52637.37,27139.11,97565.16,192618.33,29904.67,245208.88,480194.32,57376.51
27/04/2019,137064.11,135899.57,95710.66,11696.69,6557.52,57403.45,27693.09,70669.12,217247.71,21334.04,234255.45,587700.18,68289.9
04/05/2019,140006.08,91890.93,106115.96,10352.2,7143.98,61297.66,30204.83,75405.94,241991.59,32529.52,267675.93,606400.18,77038
11/05/2019,140472,80857.56,104584.63,9292.18,7687.15,62949.34,29167.94,72862.51,228468.68,39824.01,277308.15,602998.4,83564.86
18/05/2019,138548.33,97000.26,112616.11,9793.2,7305.04,58461.85,30855.72,104268.11,220522.28,47354.1,277301.46,600403.68,72055.42
25/05/2019,133349.09,96544.02,94534.53,11331.28,6871.93,64168.16,30043.08,66037.79,206638.62,23882.63,244311.84,556456.76,66416.47
01/06/2019,129746.03,89705.41,102982.16,10667.03,5999.87,65488.2,30124.66,105711.41,211100.5,32057.11,261098.45,577482.98,69663.12
08/06/2019,130786.67,101901.03,100047.14,10790.71,4793.47,69593.88,30146.58,90882.73,214599.2,21697.44,270936.57,623053.09,73520.65
15/06/2019,130911.86,90732.92,115389.31,10282.86,4776.7,64057.98,30620.46,77425.06,218170.16,25865.84,254340.62,596390.77,75970.15
22/06/2019,131640.42,119182.08,95738.91,9719.08,5873.92,74196.83,28891.05,70557.36,209611.05,17708.36,279297.54,582024.83,75667.08
29/06/2019,144518.29,168727.86,114611.07,9648.84,7129.23,73584.14,30203.17,73515.35,214340.45,18255,300909.64,617829.24,84809.48
06/07/2019,144508.8,169067.52,113207.17,8137.45,7652.47,79765.08,30966.32,73188.66,227091.74,14552.05,272166.04,619841.55,78535.18
13/07/2019,143443.5,134009.08,111331.76,14305.77,6896.36,61500.25,30999.61,71016.36,216935.92,13453.95,290765.83,593598.13,84346.46
20/07/2019,138433.78,121471.95,104595.26,16896.98,6135.78,60861.22,31043.16,103430.7,207022.58,11641.44,305141.53,593154.93,93826.91
27/07/2019,134629.44,105879.19,94263.72,12974.64,6282.98,52309.88,30706.6,77845.44,201621.47,13000.15,267674.26,544614.59,79312.36
03/08/2019,131784.18,86246.74,100503.12,11315.69,6756.92,51630.03,32903.95,91289.3,216771.29,13821.71,257339.5,557196.62,80457.67
10/08/2019,129586.66,74205.82,105325.1,12993.78,6352.57,52362.13,32195.98,77444.24,217820.99,14818.18,247757.52,559887.25,79596.18
17/08/2019,130497.97,59079.76,106976.01,12935.69,6259.73,48352.08,32116.63,69816.76,204426.37,13301.53,249896.69,566092.04,76775.4
24/08/2019,135260.33,53528.2,106370.01,11278.39,7030.63,59478.89,32362.98,70238.07,198129.14,17189.7,272379.7,560664.01,78442
31/08/2019,142520.28,57736.82,106445.25,16707.36,7458.66,65339.89,33274.36,75555.83,214782.51,14777.42,273061.59,596858.51,84822.94
07/09/2019,141684.17,49162.13,110733.39,15364.79,7756.71,65532.39,34071.21,78796.68,223406.33,17710.93,258898.75,642246.73,83956.98
14/09/2019,137664.77,42449.94,105821.66,13742.61,8054.54,72507.16,33904.88,69544.38,226384.91,20507.7,270438.74,607752.84,80142.48
21/09/2019,141077.79,45295.69,107344.87,13499.02,7705.93,82804.69,33808.48,72219.55,228054.86,23372.45,303540.57,626922.22,87419.13
28/09/2019,138908.72,41705.04,111835.94,14536.46,8175.87,87481.29,34463.94,104422.16,233398.06,32793.41,309845.85,655386.09,92886.31
05/10/2019,149624.1,39787.15,112827.88,14539.12,6515.04,90017.99,35479.95,94843.4,239625.99,42667.61,325834.14,650926.01,95543.55
12/10/2019,158694.48,37971.87,110878.67,14091.5,7486.18,85537.38,35733.11,79730.29,231894.7,42229.83,319948.75,625810.61,94117.7
19/10/2019,150629.08,35598.45,108444.27,12328.44,4554.96,81923.92,35156.86,79015.9,214876.41,44040.41,276190.3,602035.88,88567.51
26/10/2019,153961.49,35160.6,102275.75,12035.04,6762.21,88875.24,36087.11,71916.1,215813.29,41190.34,264595.91,580768.24,82003.19
02/11/2019,147767.31,34845.44,122447.71,10111.44,7526.56,95699.98,35766.8,73891.3,234107.95,49981.23,314553.11,615614.53,85887.77
09/11/2019,156828.23,34887.22,119642.16,13872.75,9272.03,103605.32,33653.25,79592.83,227792.05,43802.07,322943.64,632777.35,89419.49
